,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24,C_25,C_26,C_27,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41
P_11,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.0,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857142
P_12,4.031879981247069,0.0,0.0,0.0,11.57149554617909,0.0,0.0,4.031879981247069,0.0,4.031879981247069,0.0,4.031879981247069,6.209095171120487,4.031879981247069,4.031879981247069,0.0,0.0,0.0,0.0,11.57149554617909,4.031879981247069,0.0,0.0,4.031879981247069,0.0,0.0,4.031879981247069,4.031879981247069,0.0,4.031879981247069,0.0,4.031879981247069,0.0,4.233473980309423,4.031879981247069,0.0,0.0,0.0,0.0,0.0,0.0
P_13,2.1153846153846154,2.1153846153846154,0.0,0.0,0.0,0.0,0.0,2.1153846153846154,0.0,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,0.0,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154,2.1153846153846154,2.1153846153846154,2.1153846153846154,0.0,2.1153846153846154
P_14,1.6017473607571897,0.0,0.0,2.354568620313069,0.0,1.6017473607571897,0.0,1.6017473607571897,0.0,1.6017473607571897,0.0,0.0,0.0,0.0,0.0,1.6017473607571897,0.0,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,0.0,1.6017473607571897,1.6017473607571897,0.0,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,1.6017473607571897,0.0,1.6017473607571897,1.6017473607571897,1.6017473607571897
P_15,1.9477989871445267,1.9477989871445267,1.9477989871445267,0.0,1.9477989871445267,0.0,1.9477989871445267,0.0,0.0,1.9477989871445267,0.0,1.9477989871445267,0.0,0.0,1.9477989871445267,0.0,0.0,0.0,0.0,3.2528243085313595,0.0,1.9477989871445267,1.9477989871445267,1.9477989871445267,0.0,0.0,1.9477989871445267,1.9477989871445267,1.9477989871445267,1.9477989871445267,0.0,1.9477989871445267,1.9477989871445267,1.9477989871445267,0.0,1.9477989871445267,1.9477989871445267,1.9477989871445267,1.9477989871445267,1.9477989871445267,1.9477989871445267
P_16,0.0,0.0,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,0.0,0.78125,0.78125,0.78125,0.0,0.78125,0.78125,0.78125,0.0,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.0
P_17,2.4,2.4,0.0,2.4,2.4,0.0,2.4,0.0,2.4,2.4,2.4,0.0,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,0.0,2.4,2.4,0.0,2.4,2.4,2.4,0.0,2.4,0.0,2.4,2.4,2.4,0.0,0.0,2.4,2.4,2.4
P_18,1.7307692307692308,0.0,0.0,1.7307692307692308,0.0,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,1.7307692307692308,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,0.0,0.0,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,1.7307692307692308,1.7307692307692308,0.0,1.7307692307692308,1.7307692307692308,0.0,0.0,1.7307692307692308,0.0,1.7307692307692308,1.7307692307692308,1.7307692307692308,1.7307692307692308
P_19,1.0606060606060606,1.0606060606060606,0.0,0.0,0.0,1.0606060606060606,1.0606060606060606,0.0,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,0.0,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,0.0,0.0,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,1.0606060606060606,0.0,1.0606060606060606
P_20,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
P_21,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543
P_22,0.35135135135135137,0.35135135135135137,0.0,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.0,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.0,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.0,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.35135135135135137
P_23,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.0,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543
P_24,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P_25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75
P_26,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0
P_27,0.0,0.4838709677419355,0.0,0.4838709677419355,0.0,0.4838709677419355,0.4838709677419355,0.0,0.4838709677419355,0.0,0.0,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.0,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.0,0.4838709677419355,0.4838709677419355,0.0,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.0,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
P_28,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.0,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.0,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564
P_29,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.0,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.0,0.3684210526315789,0.3684210526315789,0.0,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
P_30,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
P_31,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.0,0.2631578947368421,0.0,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.0,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
P_32,0.0,0.0,0.34285714285714286,0.0,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.0,0.34285714285714286,0.0,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.0,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286
P_33,0.0,0.0,0.8799999999999999,0.0,0.0,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.8799999999999999,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.0,0.8799999999999999,0.0,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.0,0.8799999999999999,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999
P_34,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
P_35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
P_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
P_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
P_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
P_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
P_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
P_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
P_51,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.0,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.0,0.0,0.0,0.016216216216216214,0.016216216216216214,0.016216216216216214
P_52,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.0,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.0,0.0,0.0,0.016216216216216214,0.016216216216216214,0.016216216216216214
P_53,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.0,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.016216216216216214,0.0,0.0,0.0,0.016216216216216214,0.016216216216216214,0.016216216216216214
